Name,Position,Department 
Loren Kruger,Not Listed,English
Jennifer Cole,Not Listed,Comparative Human Development
Laura Letinsky,Not Listed,Visual Arts
Jacob Eyferth,Not Listed,History
Daniel Johnson Professor of Pediatrics BSD,Not Listed,Not Listed
Nadine Moeller Associate Professor NELC,Not Listed,Not Listed
Paul Mendes-Flohr,Not Listed,Divinity
Jason Bridges,Not Listed,Philosophy
Shipra Parikh,Not Listed,Social Service Administration
Haun Saussy,Not Listed,Comparative Literature
Daniel Raeburn,Not Listed,Creative Writing
Lucy Pick,Not Listed,Divinity
Gina Fedock,Not Listed,Social Service Administration
LaToya Baldwin Clark,Not Listed,Law
Dan Nicolae. Professor,Not Listed,Medicine
Matthew Jesse Jackson,Not Listed,Art History
Claudia Flores,Assistant Clinical Professor,Law
Judith Miller,Assistant Clinical Professor,Law
Sonali Thakkar,Assistant Professor,English
Zach Samalin,Assistant Professor,English
Adom Getachew,Assistant Professor,Political Science
Demetra Kasimis,Assistant Professor,Political Science
Edgar Garcia,Assistant Professor,English
Julie Orlemanski,Assistant Professor,English
Adrienne Brown,Assistant Professor,English
Michael Rossi,Assistant Professor,History
Constantine V. Nakassis,Assistant Professor,Anthropology
Miguel Martinez,Assistant Professor,Romance Languages and Literatures
Chiara Cordelli,Assistant Professor,Political Science
Johanna Ransmeier,Assistant Professor,History
Alireza Doostdar,Assistant Professor,Divinity
Larissa Brewer-Garcia,Assistant Professor,Romance Languages and Literatures
Marci Ybarra,Assistant Professor,Social Service Administration
Rachel Galvin,Assistant Professor,English
Christopher Taylor,Assistant Professor,English
Leah Feldman,Assistant Professor,Comparative Literature
Faith Hillis,Assistant Professor,History
Itamar Francez,Assistant Professor,Linguistics
Xin He,Assistant Professor,Human Genetics
Laura Gandolfi,Assistant Professor,Romance Languages and Literatures
Vincent J. Lynch,Assistant Professor,Human Genetics
Heather Keenleyside,Assistant Professor,English
Jessica Baker,Assistant Professor,Music
Darryl Li,Assistant Professor,Anthropology
Angela S. Garcia,Assistant Professor,Social Service Administration
Anna Seastrand,Assistant Professor,Humanities
David Simon,Assistant Professor,English
Joshua Craze,Assistant Professor,Social Sciences Division
Kathleen Belew,Assistant Professor,History
Forrest Stuart,Assistant Professor,Sociology
Aaron Benanav,Assistant Professor,Social Sciences Division
John Muse,Assistant Professor,English
Tyler Williams,Assistant Professor,South Asian Languages and Literatures
Angie Heo,Assistant Professor,Divinity
Mareike Winchell,Assistant Professor,Anthropology
Timothy Harrison,Assistant Professor,English
Yanilda González,Assistant Professor,Social Service Administration
Philip A. Verhoef,Assistant Professor,Medicine
Maria Anna Mariani,Assistant Professor,Romance Languages and Literatures
Marco Garrido,Assistant Professor,Sociology
Ghenwa Hayek,Assistant Professor,Near East Languages and Civilizations
Sonya Dinizulu,Assistant Professor,Psychiatry
Mark Berger,Assistant Professor,Humanities
Olga Solovieva,Assistant Professor,Comparative Literature
Michael Albertus,Assistant Professor,Political Science
Kimberly Hoang,Assistant Professor,Sociology
James L. Wilson,Assistant Professor,Political Science
Victoria Saramago,Assistant Professor,Romance Languages and Literatures
Eugene Raikhel,Assistant Professor,Comparative Human Development
Emma Saunders-Hastings,Assistant Professor,Social Sciences Division
Benjamin Lessing,Assistant Professor,Political Science
Austin Carson,Assistant Professor,Political Science
Anna S. Mueller,Assistant Professor,Comparative Human Development
Matthew Landauer,Assistant Professor,Political Science
Ahmed El Shamsy,Assistant Professor,Near East Languages and Civilizations
Michael Weaver,Assistant Professor,Social Sciences Division
Laura Weinrib,Assistant Professor,Law
Genevieve Lakier,Assistant Professor,Law
Risi Kondor,Assistant Professor,Computer Science
Cecile Fromont,Assistant Professor,Art History
Paul Staniland,Assistant Professor,Political Science
Brandon Pierce,Assistant Professor,Medicine
Leslie Rogers,Assistant Professor,Physics
Stephanie E. Palmer,Assistant Professor,Physics
Rina Barber,Assistant Professor,Statistics
Erik Shirokoff,Assistant Professor,Physics
Abigail G. Vieregg,Assistant Professor,Physics
David W. Miller,Assistant Professor,Physics
Megan Sullivan,Assistant Professor,Art History
Niall Atkinson,Assistant Professor,Art History
Damiano Caprioli,Assistant Professor,Physics
Na'ama Rokem,Associate Professor,Near East Languages and Civilizations
Julia Henly,Associate Professor,Social Service Administration
Alida Bouris,Associate Professor,Social Service Administration
Amy Dru Stanley,Associate Professor,History
Paola Iovene,Associate Professor,East Asian Languages and Civilizations
Jennifer Pitts,Associate Professor,Political Science
Petra Goedegebuure,Associate Professor,Near East Languages and Civilizations
Patchen Markell,Associate Professor,Political Science
Mario Santana,Associate Professor,Romance Languages and Literatures
Travis A. Jackson,Associate Professor,Music
Summerson Carr,Associate Professor,Social Service Administration
Hussein Ali Agrama,Associate Professor,Anthropology
Daniel Morgan,Associate Professor,Cinema and Media Studies
Nicole P. Marwell,Associate Professor,Social Service Administration
François Richard,Associate Professor,Anthropology
Matthew M. Briones,Associate Professor,History
Kristen Schilt,Associate Professor,Sociology
william pope.l,Associate Professor,Not Listed
William Sites,Associate Professor,Social Service Administration
Patrick Jagoda,Associate Professor,English
Dain Borges,Associate Professor,History
Whitney Cox,Associate Professor,South Asian Languages and Literatures
Alison James,Associate Professor,Romance Languages and Literatures
Boris Rodin Maslov,Associate Professor,Comparative Literature
Catherine Sullivan,Associate Professor,Visual Arts
