Name,Position,Department
Loren Kruger,Not Listed,English
Jennifer Cole,Not Listed,Comparative Human Development
Laura Letinsky,Not Listed,Visual Arts
Jacob Eyferth,Not Listed,History
Daniel Johnson Professor of Pediatrics BSD,Not Listed,Not Listed
Nadine Moeller Associate Professor NELC,Not Listed,Not Listed
Paul Mendes-Flohr,Not Listed,Divinity
Jason Bridges,Not Listed,Philosophy
Shipra Parikh,Not Listed,Social Service Administration
Haun Saussy,Not Listed,Comparative Literature
Daniel Raeburn,Not Listed,Creative Writing
Lucy Pick,Not Listed,Divinity
Gina Fedock,Not Listed,Social Service Administration
LaToya Baldwin Clark,Not Listed,Law
Dan Nicolae. Professor,Not Listed,Medicine
Matthew Jesse Jackson,Not Listed,Art History
Claudia Flores,Tenure Track,Law
Judith Miller,Tenure Track,Law
Sonali Thakkar,Tenure Track,English
Zach Samalin,Tenure Track,English
Adom Getachew,Tenure Track,Political Science
Demetra Kasimis,Tenure Track,Political Science
Edgar Garcia,Tenure Track,English
Julie Orlemanski,Tenure Track,English
Adrienne Brown,Tenure Track,English
Michael Rossi,Tenure Track,History
Constantine V. Nakassis,Tenure Track,Anthropology
Miguel Martinez,Tenure Track,Romance Languages and Literatures
Chiara Cordelli,Tenure Track,Political Science
Johanna Ransmeier,Tenure Track,History
Alireza Doostdar,Tenure Track,Divinity
Larissa Brewer-Garcia,Tenure Track,Romance Languages and Literatures
Marci Ybarra,Tenure Track,Social Service Administration
Rachel Galvin,Tenure Track,English
Christopher Taylor,Tenure Track,English
Leah Feldman,Tenure Track,Comparative Literature
Faith Hillis,Tenure Track,History
Itamar Francez,Tenure Track,Linguistics
Xin He,Tenure Track,Human Genetics
Laura Gandolfi,Tenure Track,Romance Languages and Literatures
Vincent J. Lynch,Tenure Track,Human Genetics
Heather Keenleyside,Tenure Track,English
Jessica Baker,Tenure Track,Music
Darryl Li,Tenure Track,Anthropology
Angela S. Garcia,Tenure Track,Social Service Administration
Anna Seastrand,Tenure Track,Humanities
David Simon,Tenure Track,English
Joshua Craze,Tenure Track,Social Sciences Division
Kathleen Belew,Tenure Track,History
Forrest Stuart,Tenure Track,Sociology
Aaron Benanav,Tenure Track,Social Sciences Division
John Muse,Tenure Track,English
Tyler Williams,Tenure Track,South Asian Languages and Literatures
Angie Heo,Tenure Track,Divinity
Mareike Winchell,Tenure Track,Anthropology
Timothy Harrison,Tenure Track,English
Yanilda Gonz<87>lez,Tenure Track,Social Service Administration
Philip A. Verhoef,Tenure Track,Medicine
Maria Anna Mariani,Tenure Track,Romance Languages and Literatures
Marco Garrido,Tenure Track,Sociology
Ghenwa Hayek,Tenure Track,Near East Languages and Civilizations
Sonya Dinizulu,Tenure Track,Psychiatry
Mark Berger,Tenure Track,Humanities
Olga Solovieva,Tenure Track,Comparative Literature
Michael Albertus,Tenure Track,Political Science
Kimberly Hoang,Tenure Track,Sociology
James L. Wilson,Tenure Track,Political Science
Victoria Saramago,Tenure Track,Romance Languages and Literatures
Eugene Raikhel,Tenure Track,Comparative Human Development
Emma Saunders-Hastings,Tenure Track,Social Sciences Division
Benjamin Lessing,Tenure Track,Political Science
Austin Carson,Tenure Track,Political Science
Anna S. Mueller,Tenure Track,Comparative Human Development
Matthew Landauer,Tenure Track,Political Science
Ahmed El Shamsy,Tenure Track,Near East Languages and Civilizations
Michael Weaver,Tenure Track,Social Sciences Division
Laura Weinrib,Tenure Track,Law
Genevieve Lakier,Tenure Track,Law
Risi Kondor,Tenure Track,Computer Science
Cecile Fromont,Tenure Track,Art History
Paul Staniland,Tenure Track,Political Science
Brandon Pierce,Tenure Track,Medicine
Leslie Rogers,Tenure Track,Physics
Stephanie E. Palmer,Tenure Track,Physics
Rina Barber,Tenure Track,Statistics
Erik Shirokoff,Tenure Track,Physics
Abigail G. Vieregg,Tenure Track,Physics
David W. Miller,Tenure Track,Physics
Megan Sullivan,Tenure Track,Art History
Niall Atkinson,Tenure Track,Art History
Damiano Caprioli,Tenure Track,Physics
Na'ama Rokem,Has Tenure,Near East Languages and Civilizations
Julia Henly,Has Tenure,Social Service Administration
Alida Bouris,Has Tenure,Social Service Administration
Amy Dru Stanley,Has Tenure,History
Paola Iovene,Has Tenure,East Asian Languages and Civilizations
Jennifer Pitts,Has Tenure,Political Science
Petra Goedegebuure,Has Tenure,Near East Languages and Civilizations
Patchen Markell,Has Tenure,Political Science
Mario Santana,Has Tenure,Romance Languages and Literatures
Travis A. Jackson,Has Tenure,Music
Summerson Carr,Has Tenure,Social Service Administration
Hussein Ali Agrama,Has Tenure,Anthropology
Daniel Morgan,Has Tenure,Cinema and Media Studies
Nicole P. Marwell,Has Tenure,Social Service Administration
Fran<8d>ois Richard,Has Tenure,Anthropology
Matthew M. Briones,Has Tenure,History
Kristen Schilt,Has Tenure,Sociology
william pope.l,Has Tenure,Not Listed
William Sites,Has Tenure,Social Service Administration
Patrick Jagoda,Has Tenure,English
Dain Borges,Has Tenure,History
Whitney Cox,Has Tenure,South Asian Languages and Literatures
Alison James,Has Tenure,Romance Languages and Literatures
Boris Rodin Maslov,Has Tenure,Comparative Literature
Catherine Sullivan,Has Tenure,Visual Arts
Sarah Nooter,Has Tenure,Classics
Tahera Qutbuddin,Has Tenure,Near East Languages and Civilizations
Mark Abney,Has Tenure,Human Genetics
